Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.8425827,30.98994255,27.55243874,24.47424316,22.43296051,27.17383575,21.90361023,18.08647156,18.54986382,33.11112213,20.73244667,18.86988258,21.03191948,29.69613647,29.7475071,35.209095,32.4010582,35.18819809,38.69595718,36.93346786,42.85336685,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.23305964,1.3295666,1.01875496,1.09625208,0.79425544,0.90671808,0.64221585,0.57034886,0.51332533,1.14663947,0.60363603,0.36693901,0.43670169,0.71266264,0.68373317,0.86391306,0.76494843,0.88887793,0.86922854,0.96037757,1.15479565,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.19914436,7.05502892,6.12984419,6.83480501,5.8530035,5.91355276,4.36346436,3.77503133,3.19745922,5.70376587,2.69455552,1.81748676,1.76665962,2.94007111,2.7363534,3.35080194,3.66401911,4.07695913,4.15752554,5.12380648,6.21782923,..,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.06797857,4.48464835,3.5587916,4.31204734,3.64999202,4.72276907,4.22306841,4.48776899,4.97258651,11.84794063,7.17000096,5.12546815,6.83878888,12.93796531,13.56874212,18.36205103,17.66305954,21.67594866,22.19453928,25.04767076,29.26539819,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.94536269,26.95660354,22.95306372,26.24241856,20.64003973,25.51525416,20.21529264,19.41821747,18.33882119,44.17052028,24.01628193,15.43341136,20.93474804,37.3566809,39.85053444,52.9269319,52.00400257,64.07595097,67.16981788,78.11530119,91.69148455,..,..
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.33134079,48.49234772,56.80447006,61.6233139,55.2049675,52.61208344,50.24878311,58.36778641,59.47414398,47.29646301,62.55182648,53.52558899,51.94340897,51.30714417,53.46399307,47.82938004,49.47957993,48.14106369,48.85312653,41.85754776,41.78775406,..,..
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.65021645,7.0174747,7.33711005,10.85723663,8.98221599,9.14389594,9.68808592,14.48271116,15.94299272,16.92379003,21.63259668,14.53870822,16.89004236,22.35341574,24.38655254,24.94371285,26.97321653,29.65492005,28.02030704,28.38710261,28.53767167,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.79139613,42.1810739,47.32200519,66.0753757,50.79279451,49.40085472,46.37563802,62.66553278,58.79750749,63.09388562,72.45947989,43.77782832,51.70342109,64.54256128,71.62175706,71.89796986,79.41518957,87.66247019,84.80099076,88.52987139,89.41144297,..,..
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.78172,..,..,..,..,..,26.65884,..,..,..,..,..,39.68306,..,..,..,..,44.37949,..,..,..,..,..
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.8260746,20.51770973,15.64309025,13.90244102,22.3620739,20.21408081,27.84760666,23.54574203,21.9759922,19.59241486,16.71572495,27.60452843,27.02466965,18.99671936,16.78850174,16.96152306,18.11935997,16.67073631,12.45091534,21.20898628,15.358881,..,..
External health expenditure channeled through government (% of external health expenditure),SH.XPD.EHEX.EH.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.55360145,4.73318817,8.350581944,10.56820544,17.22901788,26.47949634,47.36019981,99.99996755,53.56842407,60.60600954,79.05762799,54.97421508,45.79763442,25.68230493,31.63568501,24.33746506,67.28893742,..,81.7893201,89.53448191,83.28602441,..,..
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.38587657,2.96917984,2.02052884,2.44943158,3.63845831,3.51317494,5.36908528,5.84236948,5.8910152,7.01062778,5.78087879,7.49798721,8.78740563,8.27646024,7.65774614,8.84567914,9.87755747,10.26918189,7.14137452,14.38358587,10.48887896,..,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.817012807,17.84733106,13.03176256,14.90684206,20.57481866,18.98029527,25.70112998,25.27946541,21.72597182,26.13644736,19.36334675,22.57735638,26.89981019,23.89719533,22.49031438,25.49686072,29.08174108,30.35657657,21.61274085,44.85758988,32.86273013,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lao PDR,LAO,6.292,6.31,6.313,6.318,6.313,6.316,6.307,6.306,6.298,6.301,6.31,6.295,6.284,6.281,6.289,6.287,6.289,6.293,6.298,6.314,6.332,6.35,6.369,6.376,6.381,6.361,6.321,6.273,6.21,6.153,6.084,5.996,5.882,5.75,5.548,5.346,5.148,4.964,4.776,4.655,4.4,4.209,4.037,3.911,3.808,3.673,3.597,3.494,3.375,3.264,3.145,3.049,2.953,2.872,2.802,2.766,2.722,2.671,2.619,2.571,2.541,2.496,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,550,430,250,210,190,210,240,270,310,350,380,370,300,280,280,300,320,330,380,450,510,610,740,880,990,1130,1360,1600,1810,1970,2110,2240,2470,2520,2470,2510,2360
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Lao PDR,LAO,0.472209454,..,..,..,..,..,..,..,..,..,0.927399993,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5697999,..,..,..,..,..,..,..,..,..,..,..,0.9,..,..,1.2,..,..,..,..,0.7,..,1.5,..,..,..,..,..,..,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.452,0.456815422,..,0.456665337,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.462,0.465173483,..,0.465303004,..,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.443,0.449389309,..,0.449351221,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.477,0.479533613,..,0.479691446,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.433,0.441906303,..,0.441417754,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.44,0.44876501,..,0.448288292,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.418,0.431806833,..,0.431049794,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.457,0.464547902,..,0.464169472,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.468,0.470473677,..,0.470381379,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,6,7,7,8,10,15,27,29,26,34,34,42,69,62,61,58,56,63,69,60,65,65,60,65,61,56,68,67,72,78,85,87,89,89,89,91,92,85,90,80,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,5,4,5,10,17,21,18,22,23,25,48,54,58,60,54,55,51,52,53,49,45,49,57,50,61,67,74,76,77,83,83,83,83,84,85,80,79,75,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,45,49,57,50,61,67,74,76,77,83,83,83,83,84,85,80,79,75,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74,76,77,83,83,83,83,84,85,80,79,75,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,6,6,10,11,23,20,32,47,46,46,73,68,73,67,71,71,42,50,55,42,36,41,48,40,52,59,64,67,69,78,81,81,81,86,86,83,79,73,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,70,56,64,50,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,5,4,6,10,17,22,26,22,27,26,58,64,68,69,67,64,57,55,55,52,46,50,56,46,60,67,76,78,76,82,83,83,83,84,85,80,78,74,..
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.01,0.02,0.02,0.04,0.05,0.08,0.13,0.21,0.23,0.24,0.32,0.34,0.35,0.33,0.35,0.35,0.36,0.36,0.35,0.35,0.34,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.24,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.01,0.01,0.02,0.03,0.04,0.07,0.11,0.18,0.2,0.21,0.27,0.29,0.3,0.28,0.3,0.29,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.19,..
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,..
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.09,0.1,0.1,0.14,0.15,0.15,0.15,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.11,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.76167508,21.61605836,17.27893461,15.44127384,13.43802642,11.49289419,15.82451321,14.53386373,12.98135485,14.64240312,13.30141351,9.095235799,23.60317587,19.96430474,25.20800119,17.69341958,7.491108805,4.012033078,4.234223366,2.808896696,1.489795661,1.657282388,..
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,330,317,305,293,282,270,260,249,240,230,221,213,204,197,189,182,175,168,162,155,149,143,..
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.5,..,..,..,..,..
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.27907678,48.20656043,48.11210994,48.01365127,47.87809963,47.76291226,47.65312515,47.56033466,47.52735301,47.45375624,47.40819838,47.3717086,47.34056333,47.30788015,47.26849435,47.18359603,47.05264202,46.93739902,46.83895152,46.76007588,46.69961084,46.65646908,46.62186684,46.59142792,46.56617315,46.57391188,46.61861626,46.66944474,46.7148521,46.75743844,46.76591572,46.90393038,46.95994685
"Labor force, total",SL.TLF.TOTL.IN,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1592895,1636325,1677746,1718228,1755007,1792889,1830839,1868412,1910119,1947614,1988173,2029988,2072939,2117142,2162269,2212733,2267675,2324756,2380128,2433807,2483798,2533280,2581855,2630471,2680173,2729994,2779720,2829303,2879155,2930353,2960297,3020830,3073466
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Lao PDR,LAO,42.511,42.861,43.286,43.545,43.885,44.329,44.324,44.798,45.225,45.361,45.709,46.119,46.267,46.478,46.602,46.999,46.8,47.188,47.494,48.096,49.045,49.697,50.253,50.843,51.484,52.079,52.702,53.224,53.929,54.579,55.079,55.783,56.349,56.864,57.179,57.857,58.397,58.901,59.317,59.342,59.941,60.755,61.293,62.013,62.399,63.149,63.717,64.286,64.593,65.438,66.156,66.591,67.368,67.663,68.507,68.724,69.346,69.468,69.572,70.234,70.594,70.078,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Lao PDR,LAO,39.143,39.348,40.756,39.241,39.53,39.898,39.971,40.524,40.834,41.134,41.488,41.913,42.282,42.524,44.441,44.765,44.392,44.744,44.908,45.812,47.085,47.728,48.514,49.029,49.547,50.098,50.658,51.046,51.507,51.906,52.335,53.124,53.55,53.997,54.307,54.901,55.374,55.682,56.025,56.41,56.839,57.427,57.833,58.14,58.302,58.94,59.405,60.013,60.715,61.232,61.917,62.969,63.451,63.877,64.346,64.739,65.122,65.512,65.793,66.155,66.519,66.154,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,40.79,41.066,42.009,41.332,41.649,42.056,42.096,42.617,42.984,43.21,43.563,43.983,44.249,44.477,45.532,45.892,45.603,45.973,46.207,46.966,48.082,48.73,49.404,49.957,50.535,51.108,51.699,52.152,52.731,53.252,53.713,54.46,54.952,55.435,55.749,56.385,56.891,57.292,57.665,57.873,58.378,59.07,59.534,60.031,60.293,60.98,61.493,62.084,62.603,63.273,63.973,64.736,65.355,65.718,66.361,66.67,67.167,67.434,67.634,68.138,68.497,68.061,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.652331456,2.585797554,2.267330675,2.186317178,1.867944752,1.760250845,1.661804999,1.340343652,1.324994914,1.214299417,0.952984526,0.911046902,0.829668811,0.792144847,0.57846475,0.563038905,0.51046747,0.506977666,0.50619086,0.470863924,0.345089245,..,..
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,39,44,46,54,57,60,75,75,82,110,110,120,130,170,180,200,200,200,210,290,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.90235901,..,..,..,..,58.46070099,60.90251923,..,..,..,63.22698975,..,..,..,..,..,49.72307968,..,..,..,79.39103699,..,..,..,..,..,82.75,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.48625183,..,..,..,..,81.36018372,77.00605774,..,..,..,82.45175171,..,..,..,..,..,67.35858154,..,..,..,89.96128082,..,..,..,..,..,91.41000366,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.25133133,..,..,..,..,69.58312225,68.73439026,..,..,..,72.70226288,..,..,..,..,..,58.28794098,..,..,..,84.66104126,..,..,..,..,..,87.06999969,..
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.81578827,..,..,..,..,88.06197357,82.59932709,..,..,..,89.18749237,..,..,..,..,..,77.27266693,..,..,..,94.4043808,..,..,..,..,..,95.30999756,..
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.13362885,..,..,..,..,80.59855652,78.45799255,..,..,..,83.93106079,..,..,..,..,..,72.05622864,..,..,..,92.46263885,..,..,..,..,..,94.26000214,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.446365,20.174391,19.911747,19.639,19.380146,19.121815,18.880812,18.658106,18.456923,18.251307,18.074657,17.883835,17.729925,17.581749,17.447184,17.313999,..,..,..,..,..,..,..
Malaria cases reported,SH.STA.MALR,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40106,27076,21420,18894,16183,13602,18382,19037,18935,22791,22879,17532,46153,39589,50674,36078,15509,8435,9038,6086,3276,3697,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,100,..,100,..,100,..,100,..,..,..,..,..
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,579,562,530,509,471,442,417,366,361,330,284,271,246,234,189,184,167,166,165,153,126,..,..
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,594,..,..,..,..,..,..,..,..,..,407,..,..,..,..,..,444,..,..,..,217,..,..,..,..,..,..,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.8,13.4,13.6,13.7,13.8,14,13.9,14.2,14.1,14.2,14.3,14,14.2,14.3,16.4,15.2,16.4,16.8,17.3,17.9,..,..,..
"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.8,8.5,8.7,8.6,8.6,8.6,8.4,8.4,8.4,8.4,8.4,8.1,8.1,8.1,9.1,8.5,9,9.2,9.4,9.7,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.8,18.3,18.7,18.9,19.2,19.5,19.5,20,19.9,20.1,20.3,20,20.3,20.6,23.6,21.9,23.6,24.3,25.1,25.9,..,..,..
